GameId,Date,HomeTeamId,AwayTeamId,HomePoints,AwayPoints,HomePossessions,AwayPossessions,HomeTeamAbbreviation,AwayTeamAbbreviation,season_type,season,winner_id,Name,Minutes,Rebounds,Turnovers,Points,FtPoints,Fouls,FG2A,Fg2Pct,FG3A,Fg3Pct,Assists,outcome,is_home,opponent_rate
0021300235,2013-11-29,1610612760,1610612744,113,112,108,108,OKC,GSW,Regular Season,2013-14,1610612760,Klay Thompson,48.3333333333333,6,1,16,4,5,10,0.3,9,0.2222222222222222,4,0,0,0.7195121951219512
0021300251,2013-12-01,1610612758,1610612744,113,115,100,101,SAC,GSW,Regular Season,2013-14,1610612744,Klay Thompson,40.8666666666667,2,4,28,,4,8,0.25,11,0.7272727272727273,1,1,0,0.34146341463414637
0021300285,2013-12-06,1610612745,1610612744,105,83,101,101,HOU,GSW,Regular Season,2013-14,1610612745,Klay Thompson,34.9833333333333,3,3,5,1,4,6,0.3333333333333333,4,,1,0,0,0.6585365853658537
0021300293,2013-12-07,1610612763,1610612744,82,108,86,86,MEM,GSW,Regular Season,2013-14,1610612744,Klay Thompson,37.8666666666667,3,2,30,3,2,14,0.6428571428571429,5,0.6,5,1,0,0.6097560975609756
0021300304,2013-12-09,1610612766,1610612744,115,111,103,103,CHA,GSW,Regular Season,2013-14,1610612766,Klay Thompson,46.0333333333333,2,2,22,,5,7,0.7142857142857143,12,0.3333333333333333,5,0,0,0.524390243902439
0021300355,2013-12-15,1610612756,1610612744,106,102,101,102,PHX,GSW,Regular Season,2013-14,1610612756,Klay Thompson,39.3833333333333,1,2,19,3,4,13,0.38461538461538464,4,0.5,3,0,0,0.5853658536585366
0021300415,2013-12-23,1610612743,1610612744,81,89,92,92,DEN,GSW,Regular Season,2013-14,1610612744,Klay Thompson,38,6,3,13,,3,12,0.4166666666666667,4,0.25,2,1,0,0.43902439024390244
0021300448,2013-12-29,1610612739,1610612744,104,108,104,105,CLE,GSW,Regular Season,2013-14,1610612744,Klay Thompson,47.6333333333333,4,2,16,3,4,4,0.5,12,0.25,1,1,0,0.4024390243902439
0021300462,2013-12-31,1610612753,1610612744,81,94,90,91,ORL,GSW,Regular Season,2013-14,1610612744,Klay Thompson,30.2833333333333,2,4,15,,3,7,0.8571428571428571,5,0.2,2,1,0,0.2804878048780488
0021300483,2014-01-03,1610612737,1610612744,100,101,99,101,ATL,GSW,Regular Season,2013-14,1610612744,Klay Thompson,39.6166666666667,5,3,21,2,1,10,0.5,7,0.42857142857142855,6,1,0,0.4634146341463415
0021300474,2014-01-02,1610612748,1610612744,114,123,100,101,MIA,GSW,Regular Season,2013-14,1610612744,Klay Thompson,37.7,2,4,16,,2,6,0.3333333333333333,9,0.4444444444444444,4,1,0,0.6585365853658537
0021300501,2014-01-05,1610612764,1610612744,96,112,98,98,WAS,GSW,Regular Season,2013-14,1610612744,Klay Thompson,35.7333333333333,3,2,26,2,,5,0.6,9,0.6666666666666666,,1,0,0.5365853658536586
0021300515,2014-01-07,1610612749,1610612744,80,101,90,89,MIL,GSW,Regular Season,2013-14,1610612744,Klay Thompson,26.3333333333333,2,1,15,2,4,12,0.4166666666666667,6,0.16666666666666666,,1,0,0.18292682926829268
0021300523,2014-01-08,1610612751,1610612744,102,98,96,96,BKN,GSW,Regular Season,2013-14,1610612751,Klay Thompson,43.4833333333333,5,2,14,,3,5,0.2,10,0.4,3,0,0,0.5365853658536586
0021300592,2014-01-17,1610612760,1610612744,127,121,100,100,OKC,GSW,Regular Season,2013-14,1610612760,Klay Thompson,41.1666666666667,1,1,26,2,5,8,0.375,9,0.6666666666666666,3,0,0,0.7195121951219512
0021300599,2014-01-18,1610612740,1610612744,87,97,90,91,NOP,GSW,Regular Season,2013-14,1610612744,Klay Thompson,36.6333333333333,2,1,8,,1,7,0.14285714285714285,7,0.2857142857142857,1,1,0,0.4146341463414634
0021300696,2014-01-31,1610612762,1610612744,90,95,93,93,UTA,GSW,Regular Season,2013-14,1610612744,Klay Thompson,41.7,5,1,11,3,3,14,0.07142857142857142,6,0.3333333333333333,2,1,0,0.3048780487804878
0021300754,2014-02-08,1610612756,1610612744,122,109,94,93,PHX,GSW,Regular Season,2013-14,1610612756,Klay Thompson,39.4166666666667,5,,17,3,4,7,0.5714285714285714,6,0.3333333333333333,2,0,0,0.5853658536585366
0021300810,2014-02-19,1610612758,1610612744,92,101,93,94,SAC,GSW,Regular Season,2013-14,1610612744,Klay Thompson,38.3333333333333,4,2,18,5,3,11,0.45454545454545453,3,0.3333333333333333,5,1,0,0.34146341463414637
