GameId,Date,HomeTeamId,AwayTeamId,HomePoints,AwayPoints,HomePossessions,AwayPossessions,HomeTeamAbbreviation,AwayTeamAbbreviation,season_type,season,winner_id,Name,Minutes,Rebounds,Turnovers,Points,FtPoints,Fouls,FG2A,Fg2Pct,FG3A,Fg3Pct,Assists,outcome,is_home,opponent_rate
0022000888,2021-04-21,1610612759,1610612748,87,107,88,88,SAS,MIA,Regular Season,2020-21,1610612748,Tyler Herro,25.4833333333333,6,,22,1,1,7,0.42857142857142855,6,0.8333333333333334,4,1,0,0.4583333333333333
0022000898,2021-04-23,1610612737,1610612748,118,103,92,91,ATL,MIA,Regular Season,2020-21,1610612737,Tyler Herro,16.7,2,1,12,,2,5,0.6,5,0.4,,0,0,0.5694444444444444
0022000012,2020-12-23,1610612753,1610612748,113,107,105,105,ORL,MIA,Regular Season,2020-21,1610612753,Tyler Herro,32.1,6,4,13,,3,9,0.5555555555555556,5,0.2,4,0,0,0.2916666666666667
0022000071,2021-01-01,1610612742,1610612748,93,83,98,97,DAL,MIA,Regular Season,2020-21,1610612742,Tyler Herro,29.2,3,,11,,,7,0.5714285714285714,4,0.25,2,0,0,0.5833333333333334
0022000136,2021-01-09,1610612764,1610612748,124,128,108,107,WAS,MIA,Regular Season,2020-21,1610612748,Tyler Herro,37.1833333333333,9,3,31,6,3,15,0.7333333333333333,5,0.2,2,1,0,0.4722222222222222
0022000157,2021-01-12,1610612755,1610612748,137,134,114,114,PHI,MIA,Regular Season,2020-21,1610612755,Tyler Herro,39.2833333333333,7,6,34,7,,17,0.5294117647058824,9,0.3333333333333333,4,0,0,0.6805555555555556
0022000174,2021-01-14,1610612755,1610612748,125,108,105,104,PHI,MIA,Regular Season,2020-21,1610612755,Tyler Herro,31.85,6,3,17,2,1,14,0.42857142857142855,2,0.5,3,0,0,0.6805555555555556
0022000220,2021-01-20,1610612761,1610612748,102,111,95,96,TOR,MIA,Regular Season,2020-21,1610612748,,,,,,,,,,,,,1,0,0.375
0022000234,2021-01-22,1610612761,1610612748,101,81,96,95,TOR,MIA,Regular Season,2020-21,1610612761,,,,,,,,,,,,,0,0,0.375
0022000244,2021-01-23,1610612751,1610612748,128,124,102,102,BKN,MIA,Regular Season,2020-21,1610612751,,,,,,,,,,,,,0,0,0.6666666666666666
